common_pleas,county,magisterial
01,Adams,51
02,Allegheny,05
03,Armstrong,33
04,Beaver,36
05,Bedford,57
06,Berks,23
07,Blair,24
08,Bradford,42
09,Bucks,07
10,Butler,50
11,Cambria,47
12,Cameron,59
13,Carbon,56
14,Centre,49
15,Chester,15
16,Clarion,18
17,Clearfield,46
18,Clinton,25
19,Columbia,26
20,Crawford,30
21,Cumberland,09
22,Dauphin,12
23,Delaware,32
24,Elk,59
25,Erie,06
26,Fayette,14
27,Forest,37
28,Franklin,39
29,Fulton,39
30,Greene,13
31,Huntingdon,20
32,Indiana,40
33,Jefferson,54
34,Juniata,41
35,Lackawanna,45
36,Lancaster,02
37,Lawrence,53
38,Lebanon,52
39,Lehigh,31
40,Luzerne,11
41,Lycoming,29
42,McKean,48
43,Mercer,35
44,Mifflin,58
45,Monroe,43
46,Montgomery,38
47,Montour,26
48,Northampton,03
49,Northumberland,08
50,Perry,41
51,Philadelphia,01
52,Pike,60
53,Potter,55
54,Schuylkill,21
55,Snyder,17
56,Somerset,16
57,Sullivan,44
58,Susquehanna,34
59,Tioga,04
60,Union,17
61,Venango,28
62,Warren,37
63,Washington,27
64,Wayne,22
65,Westmoreland,10
66,Wyoming,44
67,York,19
